Pile [n],X [m],Y [m],Rcd [kN],Rtd [kN]
1,-5.4,-1.8,2683,1619
2,-1.8,-1.8,2683,1619
3,1.8,-1.8,2683,1619
4,5.4,-1.8,2683,1619
5,-5.4,1.8,2683,1619
6,-1.8,1.8,2683,1619
7,1.8,1.8,2683,1619
8,5.4,1.8,2683,1619
