Ned [kN],Medx [kNm],Medy [kNm],Medtot [kNm],alfa [°]
10518.9,6604.4,0,6604.4,32
10477.4,6233.5,0,6233.5,32
14026.8,6568.8,0,6568.8,32
12454.3,6568.8,0,6568.8,32
12091.4,6604.4,0,6604.4,32
13985.3,6197.9,0,6197.9,32
12412.8,6197.9,0,6197.9,32
12049.9,6233.5,0,6233.5,45
10266.6,4696.6,0,4696.6,45
10238.1,4443.1,0,4443.1,45
10238.1,4399.9,0,4399.9,45
10215.2,4217.6,0,4217.6,45
