Ned [kN],Medx [kNm],Medy [kNm]
10518.9,4000,5255.292509
10477.4,3000,-5464.112211
14026.8,-2000,-6256.926837
12454.3,-1000,6492.236397
12091.4,-500,6585.446026
13985.3,-1500,-6013.648178
12412.8,2500,5671.328276
12049.9,-3500,5158.15105
10266.6,2000,4249.476622
10238.1,100,4441.974517
10238.1,4000,1832.790225
10215.2,4000,1337.21717
